Wavelength,Absorptance Reflectance
553.4883721,0.276470588
558.1395349,0.276470588
562.7906977,0.276470588
567.4418605,0.276470588
572.0930233,0.276470588
576.744186,0.276470588
581.3953488,0.276470588
586.0465116,0.276470588
590.6976744,0.276470588
595.3488372,0.276470588
600,0.276470588
604.6511628,0.276470588
609.3023256,0.276470588
613.9534884,0.276470588
618.6046512,0.276470588
623.255814,0.276470588
627.9069767,0.276470588
632.5581395,0.276470588
637.2093023,0.276470588
641.8604651,0.276470588
646.5116279,0.276470588
651.1627907,0.276470588
655.8139535,0.276470588
660.4651163,0.276470588
665.1162791,0.276470588
669.7674419,0.276470588
674.4186047,0.276470588
679.0697674,0.276470588
683.7209302,0.276470588
688.372093,0.276470588
693.0232558,0.276470588
697.6744186,0.276470588
702.3255814,0.276470588
706.9767442,0.276470588
711.627907,0.276470588
716.2790698,0.276470588
720.9302326,0.276470588
725.5813953,0.276470588
730.2325581,0.276470588
734.8837209,0.276470588
739.5348837,0.276470588
744.1860465,0.276470588
748.8372093,0.276470588
753.4883721,0.276470588
758.1395349,0.276470588
762.7906977,0.276470588
767.4418605,0.276470588
772.0930233,0.276470588
776.744186,0.276470588
781.3953488,0.276470588
786.0465116,0.276470588
790.6976744,0.276470588
795.3488372,0.276470588
800,0.276470588
804.6511628,0.276470588
809.3023256,0.276470588
813.9534884,0.276470588
818.6046512,0.276470588
823.255814,0.276470588
827.9069767,0.276470588
832.5581395,0.276470588
837.2093023,0.276470588
841.8604651,0.276470588
846.5116279,0.276470588
851.1627907,0.276470588
855.8139535,0.276470588
860.4651163,0.276470588
865.1162791,0.276470588
869.7674419,0.276470588
874.4186047,0.276470588
879.0697674,0.276470588
883.7209302,0.276470588
888.372093,0.276470588
893.0232558,0.276470588
897.6744186,0.276470588
902.3255814,0.276470588
906.9767442,0.276470588
911.627907,0.276470588
916.2790698,0.276470588
920.9302326,0.276470588
925.5813953,0.276470588
930.2325581,0.276470588
934.8837209,0.276470588
939.5348837,0.276470588
944.1860465,0.276470588
948.8372093,0.276470588
953.4883721,0.276470588
958.1395349,0.276470588
962.7906977,0.276470588
967.4418605,0.276470588
972.0930233,0.276470588
976.744186,0.276470588
981.3953488,0.276470588
986.0465116,0.276470588
990.6976744,0.276470588
995.3488372,0.276470588
1000,0.276470588
1004.651163,0.276470588
1009.302326,0.276470588
1013.953488,0.276470588
1018.604651,0.276470588
1023.255814,0.276470588
1027.906977,0.276470588
1032.55814,0.276470588
1037.209302,0.276470588
1041.860465,0.276470588
1046.511628,0.276470588
1051.162791,0.276470588
1055.813953,0.276470588
1060.465116,0.276470588
1065.116279,0.276470588
1069.767442,0.276470588
1074.418605,0.276470588
1079.069767,0.276470588
1083.72093,0.276470588
1088.372093,0.276470588
1093.023256,0.276470588
1097.674419,0.276470588
1102.325581,0.276470588
1106.976744,0.276470588
1111.627907,0.276470588
1116.27907,0.276470588
1120.930233,0.276470588
1125.581395,0.276470588
1130.232558,0.276470588
1134.883721,0.276470588
1139.534884,0.276470588
1144.186047,0.276470588
1148.837209,0.276470588
1153.488372,0.276470588
1158.139535,0.276470588
1162.790698,0.276470588
1167.44186,0.276470588
1172.093023,0.276470588
1176.744186,0.276470588
1181.395349,0.276470588
1186.046512,0.276470588
1190.697674,0.276470588
1195.348837,0.276470588
1200,0.276470588
1204.651163,0.276470588
1209.302326,0.276470588
1213.953488,0.276470588
1218.604651,0.276470588
1223.255814,0.276470588
1227.906977,0.276470588
1232.55814,0.276470588
1237.209302,0.276470588
1241.860465,0.276470588
1246.511628,0.276470588
1251.162791,0.276470588
1255.813953,0.276470588
1260.465116,0.276470588
1265.116279,0.276470588
