Wavelength,Absorptance Reflectance
544.1860465,0.460784314
548.8372093,0.460784314
553.4883721,0.460784314
558.1395349,0.460784314
562.7906977,0.460784314
567.4418605,0.460784314
572.0930233,0.460784314
576.744186,0.460784314
581.3953488,0.460784314
586.0465116,0.460784314
590.6976744,0.460784314
595.3488372,0.460784314
600,0.460784314
604.6511628,0.460784314
609.3023256,0.460784314
613.9534884,0.460784314
618.6046512,0.460784314
623.255814,0.460784314
627.9069767,0.460784314
632.5581395,0.460784314
637.2093023,0.460784314
641.8604651,0.460784314
646.5116279,0.460784314
651.1627907,0.460784314
655.8139535,0.460784314
660.4651163,0.460784314
665.1162791,0.460784314
669.7674419,0.460784314
674.4186047,0.460784314
679.0697674,0.460784314
683.7209302,0.460784314
688.372093,0.460784314
693.0232558,0.460784314
697.6744186,0.460784314
702.3255814,0.460784314
706.9767442,0.460784314
711.627907,0.460784314
716.2790698,0.460784314
720.9302326,0.460784314
725.5813953,0.460784314
730.2325581,0.460784314
734.8837209,0.460784314
739.5348837,0.460784314
744.1860465,0.460784314
748.8372093,0.460784314
753.4883721,0.460784314
758.1395349,0.460784314
762.7906977,0.460784314
767.4418605,0.460784314
772.0930233,0.460784314
776.744186,0.460784314
781.3953488,0.460784314
786.0465116,0.460784314
790.6976744,0.460784314
795.3488372,0.460784314
800,0.460784314
804.6511628,0.460784314
809.3023256,0.460784314
813.9534884,0.460784314
818.6046512,0.460784314
823.255814,0.460784314
827.9069767,0.460784314
832.5581395,0.460784314
837.2093023,0.460784314
841.8604651,0.460784314
846.5116279,0.460784314
851.1627907,0.460784314
855.8139535,0.460784314
860.4651163,0.460784314
865.1162791,0.460784314
869.7674419,0.460784314
874.4186047,0.460784314
879.0697674,0.460784314
883.7209302,0.460784314
888.372093,0.460784314
893.0232558,0.460784314
897.6744186,0.460784314
902.3255814,0.460784314
906.9767442,0.460784314
911.627907,0.460784314
916.2790698,0.460784314
920.9302326,0.460784314
925.5813953,0.460784314
930.2325581,0.460784314
934.8837209,0.460784314
939.5348837,0.460784314
944.1860465,0.460784314
948.8372093,0.460784314
953.4883721,0.460784314
958.1395349,0.460784314
962.7906977,0.460784314
967.4418605,0.460784314
972.0930233,0.460784314
976.744186,0.460784314
981.3953488,0.460784314
986.0465116,0.460784314
990.6976744,0.460784314
995.3488372,0.460784314
1000,0.460784314
1004.651163,0.460784314
1009.302326,0.460784314
1013.953488,0.460784314
1018.604651,0.460784314
1023.255814,0.460784314
1027.906977,0.460784314
1032.55814,0.460784314
1037.209302,0.460784314
1041.860465,0.460784314
1046.511628,0.460784314
1051.162791,0.460784314
1055.813953,0.460784314
1060.465116,0.460784314
1065.116279,0.460784314
1069.767442,0.460784314
1074.418605,0.460784314
1079.069767,0.460784314
1083.72093,0.460784314
1088.372093,0.460784314
1093.023256,0.460784314
1097.674419,0.460784314
1102.325581,0.460784314
1106.976744,0.460784314
